PassengerId,Survived
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,1
439,0
440,0
441,1
442,0
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,0
524,1
525,0
526,0
527,1
528,0
529,0
530,0
531,1
532,0
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,0
547,1
548,1
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,1
571,1
572,1
573,1
574,1
575,0
576,0
577,1
578,1
579,0
580,1
581,1
582,1
583,0
584,0
585,0
586,1
587,0
588,1
589,0
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,1
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,1
609,1
610,1
611,0
612,0
613,1
614,0
615,0
616,1
617,0
618,0
619,1
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,0
628,1
629,0
630,0
631,1
632,0
633,1
634,0
635,0
636,1
637,0
638,0
639,0
640,0
641,0
642,1
643,0
644,1
645,1
646,1
647,0
648,1
649,0
650,1
651,0
652,1
653,0
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,1
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,1
692,1
693,1
694,0
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,1
703,0
704,0
705,0
706,0
707,1
708,1
709,1
710,1
711,1
712,0
713,1
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,1
722,0
723,0
724,0
725,1
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,1
739,0
740,0
741,1
742,0
743,1
744,0
745,1
746,0
747,0
748,1
749,0
750,0
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,1
761,0
762,0
763,1
764,1
765,0
766,1
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,1
779,0
780,1
781,1
782,1
783,0
784,0
785,0
786,0
787,1
788,0
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,1
799,0
800,0
801,0
802,1
803,1
804,1
805,1
806,0
807,0
808,0
809,0
810,1
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,1
822,1
823,0
824,1
825,0
826,0
827,0
828,1
829,1
830,1
831,1
832,1
833,0
834,0
835,0
836,1
837,0
838,0
839,1
840,1
841,0
842,0
843,1
844,0
845,0
846,0
847,0
848,0
849,0
850,1
851,0
852,0
853,0
854,1
855,0
856,1
857,1
858,1
859,1
860,0
861,0
862,0
863,1
864,0
865,0
866,1
867,1
868,0
869,0
870,1
871,0
872,1
873,0
874,0
875,1
876,1
877,0
878,0
879,0
880,1
881,1
882,0
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,1
891,0
892,0
893,1
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,0
902,0
903,0
904,1
905,0
906,1
907,1
908,0
909,0
910,1
911,1
912,0
913,0
914,1
915,0
916,1
917,0
918,1
919,0
920,0
921,0
922,0
923,0
924,1
925,1
926,0
927,0
928,1
929,1
930,0
931,0
932,0
933,0
934,0
935,1
936,1
937,0
938,0
939,0
940,1
941,1
942,0
943,0
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,1
952,0
953,0
954,0
955,1
956,0
957,1
958,1
959,0
960,0
961,1
962,1
963,0
964,1
965,0
966,1
967,0
968,0
969,1
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,0
978,1
979,1
980,1
981,0
982,1
983,0
984,1
985,0
986,0
987,0
988,1
989,0
990,1
991,0
992,1
993,0
994,0
995,0
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,1
1005,1
1006,1
1007,0
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,0
1016,0
1017,1
1018,0
1019,1
1020,0
1021,0
1022,0
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,0
1047,0
1048,1
1049,1
1050,0
1051,1
1052,1
1053,0
1054,1
1055,0
1056,0
1057,1
1058,0
1059,0
1060,1
1061,1
1062,0
1063,0
1064,0
1065,0
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,1
1079,0
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1
1090,0
1091,1
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,0
1102,0
1103,0
1104,0
1105,1
1106,1
1107,0
1108,1
1109,0
1110,1
1111,0
1112,1
1113,0
1114,1
1115,0
1116,1
1117,1
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,1
1131,1
1132,1
1133,1
1134,0
1135,0
1136,0
1137,0
1138,1
1139,0
1140,1
1141,1
1142,1
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,1
1151,0
1152,0
1153,0
1154,1
1155,1
1156,0
1157,0
1158,0
1159,0
1160,1
1161,0
1162,0
1163,0
1164,1
1165,1
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,1
1173,0
1174,1
1175,1
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,0
1203,0
1204,0
1205,1
1206,1
1207,1
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,1
1217,0
1218,1
1219,0
1220,0
1221,0
1222,1
1223,0
1224,0
1225,1
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,1
1236,0
1237,1
1238,0
1239,1
1240,0
1241,1
1242,1
1243,0
1244,0
1245,0
1246,1
1247,0
1248,1
1249,0
1250,0
1251,1
1252,0
1253,1
1254,1
1255,0
1256,1
1257,1
1258,0
1259,1
1260,1
1261,0
1262,0
1263,1
1264,0
1265,0
1266,1
1267,1
1268,1
1269,0
1270,0
1271,0
1272,0
1273,0
1274,1
1275,1
1276,0
1277,1
1278,0
1279,0
1280,0
1281,0
1282,0
1283,1
1284,0
1285,0
1286,0
1287,1
1288,0
1289,1
1290,0
1291,0
1292,1
1293,0
1294,1
1295,0
1296,0
1297,0
1298,0
1299,0
1300,1
1301,1
1302,1
1303,1
1304,1
1305,0
1306,1
1307,0
1308,0
1309,0
