pies_cuadrados_casa;num_banios;num_habitaciones;num_cocinas;num_coches_garaje;pies_cuadrados_garaje;precio_dolares
1982;2;3;1;2;575;228500
1262;2;2;1;2;572;185000
1314;2;2;1;2;626;207500
1468;2;3;1;3;898;244600
1575;2;2;1;2;529;179200
1250;2;2;1;2;528;164700
1734;1;3;1;2;440;159000
858;1;3;1;0;0;88000
900;1;3;1;1;280;122000
1396;1;3;1;1;384;153575
1919;2;3;1;2;685;233230
1716;2;6;1;0;0;135900
1716;1;3;1;1;281;131000
2263;2;3;1;2;539;235000
1644;1;3;1;2;418;167000
1003;1;3;1;2;588;142500
1558;1;4;1;1;282;152000
1950;2;3;1;2;576;239000
1743;1;3;1;2;539;175000
1152;1;3;1;1;300;158500
1336;1;2;1;1;375;157000
2452;2;4;1;2;683;267000
1541;2;3;1;3;843;205000
894;1;3;1;2;552;149900
3493;3;3;1;3;870;295000
2000;2;3;1;3;888;305900
2243;2;4;1;3;746;225000
1406;1;3;1;0;0;89500
861;1;1;1;2;539;82500
1944;2;3;1;3;708;360000
1501;2;3;1;2;420;165600
972;1;2;1;1;240;132000
1118;1;3;1;2;410;119900
2036;2;3;1;2;513;375000
1641;1;3;1;2;546;178000
1432;2;3;1;2;432;188500
2353;2;4;1;2;484;260000
1959;2;3;1;3;1025;270000
2646;2;4;1;3;656;260000
1472;2;3;1;2;588;187500
2596;3;4;1;3;840;342643
2468;2;4;1;3;872;354000
2730;2;4;1;2;576;301000
1163;1;3;1;1;220;126175
2978;2;5;1;2;564;242000
803;1;2;1;2;360;87000
1719;1;1;1;2;473;324000
1383;1;3;1;1;292;145250
2134;2;5;1;2;441;214500
1192;1;3;1;1;189;78000
1728;2;6;2;1;352;119000
1056;1;3;1;1;308;139000
1629;2;3;1;3;880;284000
1358;2;2;1;2;484;207000
1638;2;3;1;2;472;192000
1786;2;3;1;2;529;228950
1922;2;3;1;3;676;377426
1536;2;3;1;2;532;214000
1621;2;3;1;2;440;202500
1215;1;3;1;1;297;155000
1908;2;4;1;2;431;202900
841;1;2;1;1;294;82000
1040;2;2;2;2;400;87500
1684;2;2;1;2;564;266000
1112;1;3;1;1;336;85000
1577;1;3;1;1;312;140200
958;1;2;1;1;301;151500
1478;2;3;1;2;498;157500
1626;2;2;1;2;474;154000
2728;2;4;1;3;706;437154
1869;2;2;1;2;617;318061
1453;1;2;1;2;445;190000
1111;1;3;1;1;200;95000
720;1;2;1;2;484;105900
1595;1;2;1;1;240;140000
1200;2;3;1;2;521;177500
1167;2;3;1;2;400;173000
1142;1;3;1;2;528;134000
1352;1;3;1;1;288;130000
1924;2;3;1;2;592;280000
912;1;2;1;2;470;156000
1505;1;3;1;1;240;145000
1922;3;4;1;2;672;198500
987;1;2;1;1;264;118000
1574;2;3;1;2;566;190000
1344;1;3;1;1;468;147000
1394;1;3;1;2;514;159000
1431;1;3;1;1;296;165000
1268;1;2;1;1;244;132000
1287;1;3;1;2;576;162000
1664;2;3;1;2;460;172400
1588;2;4;1;2;680;134432
752;1;2;1;1;264;125000
1319;1;3;1;1;270;123000
1928;2;4;1;2;434;219500
904;0;1;1;0;0;61000
914;1;2;1;2;576;148000
2466;3;4;1;2;610;340000
1856;1;1;1;3;834;394432
1800;2;3;1;2;463;179000
1691;2;3;1;1;308;127000
1301;2;2;1;2;572;187750
1797;2;3;1;2;639;213500
784;1;2;1;2;360;76000
1953;2;3;1;2;501;240000
1269;2;2;1;2;430;192000
1184;1;5;1;0;0;81000
1125;1;3;1;1;352;125000
1479;2;3;1;2;577;191000
2332;2;3;1;3;846;426000
1367;1;4;1;1;384;119000
1961;2;3;1;2;560;215000
882;1;3;1;1;294;106500
788;1;2;1;0;0;100000
1034;1;2;1;1;240;109000
1144;1;3;1;1;596;129000
894;1;2;1;2;600;123000
1812;2;4;1;1;264;169500
1077;1;2;1;1;338;67000
1550;2;2;1;2;438;241000
1288;1;1;1;2;500;245500
1310;2;3;1;2;400;164990
672;1;2;1;1;240;108000
2263;2;4;1;2;420;258000
1572;2;3;1;2;373;168000
1620;2;3;1;2;490;150000
1639;1;3;1;1;240;115000
1680;2;4;1;1;308;177000
2172;2;3;1;3;947;280000
2078;2;3;1;3;836;339750
1276;1;3;1;1;350;60000
1056;1;3;1;2;572;145000
1478;2;2;1;2;484;222000
1028;1;2;1;2;360;115000
2097;2;3;1;3;678;228000
1340;2;3;1;2;396;181134
1400;1;3;1;2;440;149500
2624;2;4;1;3;864;239000
1134;1;3;1;1;240;126000
1056;1;3;1;1;304;142000
1344;2;2;2;4;784;206300
1602;2;3;1;2;529;215000
988;1;2;1;2;520;113000
2630;2;4;1;3;696;315000
1196;1;2;1;1;297;139000
1389;1;3;1;1;240;135000
1644;2;2;1;2;569;275000
907;1;3;1;1;352;109008
1208;2;2;1;2;628;195400
1412;2;3;1;2;576;175000
987;1;2;1;1;264;85400
1198;1;4;1;0;0;79900
1365;1;2;1;2;440;122500
1604;2;3;1;2;470;181000
630;1;1;1;0;0;81000
1661;2;3;1;2;550;212000
1118;1;2;1;2;440;116000
904;1;2;1;1;180;119000
694;1;2;1;1;352;90350
1196;1;3;1;2;528;110000
1440;2;4;2;0;0;118000
1573;2;3;1;2;360;162900
1258;2;2;1;3;648;172500
1908;2;4;1;2;493;210000
1689;1;3;1;2;480;127500
1888;2;2;1;2;578;190000
1886;2;4;1;2;431;199900
1376;2;3;1;1;198;119500
1183;1;2;1;1;308;120000
813;1;2;1;1;270;110000
1533;2;2;1;2;576;280000
1756;2;3;1;2;422;204000
1590;2;3;1;2;676;210000
1728;2;4;2;2;560;188000
1242;1;3;1;2;528;175500
1344;1;4;1;3;513;98000
1663;1;2;1;2;529;256000
1666;1;3;1;1;228;161000
1203;1;3;1;1;352;110000
1935;2;3;1;2;552;263435
1135;1;3;1;2;576;155000
864;1;3;1;1;360;62383
1660;1;3;1;1;240;188700
1040;2;3;1;0;0;124000
1414;2;2;1;2;398;178740
1277;1;2;1;2;526;167000
1644;1;3;1;1;312;146500
1634;2;3;1;3;866;250000
1710;2;3;1;2;506;187000
1502;1;1;1;2;528;212000
1969;2;3;1;2;534;190000
1072;1;2;1;2;525;148000
1976;2;2;1;3;908;440000
1652;2;2;1;2;499;251000
970;1;2;1;2;624;132500
1493;2;3;1;2;508;208900
2643;2;3;1;3;694;380000
1718;2;3;1;3;826;297000
1131;1;2;1;2;672;89471
1850;2;3;1;3;772;326000
1792;2;2;1;3;874;374000
1826;1;4;1;1;164;155000
1216;2;2;1;2;402;164000
999;1;3;1;1;264;132500
1113;1;3;1;1;264;147000
1073;1;3;1;2;515;156000
1484;2;3;1;2;487;175000
630;1;1;1;1;286;86000
1304;1;3;1;1;336;115000
1578;1;3;1;1;240;133000
1456;2;3;1;2;429;172785
1269;1;3;1;1;308;155000
886;1;2;1;1;273;91300
720;1;2;1;0;0;34900
3228;3;4;1;2;546;430000
1820;2;4;1;1;240;184000
899;1;3;1;1;288;130000
912;1;2;1;1;297;120000
1218;1;3;1;1;264;113000
1768;2;3;1;2;603;226700
1214;1;2;1;2;461;140000
1801;2;1;1;2;484;289000
1322;2;3;1;2;440;147000
1960;2;4;2;2;400;124500
1911;2;3;1;2;471;215000
1218;2;2;1;2;676;208300
1378;2;3;1;2;360;161000
1041;1;3;1;1;270;124500
1363;1;2;1;1;288;164900
1368;2;2;1;2;474;202665
864;1;3;1;2;624;129900
1080;1;3;1;2;484;134000
789;1;2;1;1;200;96500
2020;2;3;1;3;900;402861
2119;2;3;1;2;583;158000
2344;2;3;1;3;889;265000
1796;2;3;1;2;546;211000
2080;1;3;1;1;282;234000
1294;2;3;2;0;0;106250
1244;1;3;1;1;336;150000
1664;2;3;1;2;420;159000
2398;2;3;1;3;834;315750
1266;2;3;1;2;453;176000
928;1;2;1;1;252;132000
2713;2;3;1;3;858;446261
605;1;2;1;0;0;86000
2515;3;4;2;2;484;200624
1509;2;3;1;2;600;175000
1362;2;3;1;2;502;128000
827;1;2;1;1;392;107500
334;1;1;1;0;0;39300
1414;2;3;1;2;403;178000
1347;1;3;1;0;0;107500
1724;2;3;1;2;527;188000
864;1;3;1;2;576;111250
1159;1;3;1;1;336;158000
1601;2;3;1;2;670;272000
1838;2;2;1;3;765;315000
2285;2;4;1;3;648;248000
1680;2;3;1;2;583;213250
767;1;1;1;1;367;133000
1496;2;3;1;2;426;179665
2183;2;4;1;3;786;229000
1635;1;3;1;2;440;210000
768;1;2;1;2;624;129500
825;1;2;1;2;720;125000
2094;2;4;1;2;615;263000
1069;2;2;1;2;440;140000
928;1;3;1;1;288;112500
1717;2;3;1;3;908;255500
1126;2;2;1;2;520;108000
2046;2;3;1;3;871;284000
1048;1;2;1;1;280;113000
1092;1;2;1;1;299;141000
1336;1;3;1;1;570;108000
1446;2;3;1;2;406;175000
1557;2;2;1;2;420;234000
1392;1;3;1;2;528;121500
1389;1;2;1;2;418;170000
996;1;3;1;0;0;108000
1674;2;4;1;2;396;185000
2295;2;4;1;2;590;268000
1647;1;4;1;1;216;128000
2504;2;4;1;3;656;325000
1535;2;3;1;2;532;214000
2132;1;1;1;2;612;316600
943;1;2;1;2;600;135960
1728;2;6;2;2;576;142600
864;1;2;1;1;288;120000
1692;2;3;1;2;650;224500
1430;2;3;1;2;400;170000
1109;1;3;1;1;288;139000
1216;1;2;1;1;336;118500
1477;2;3;1;1;216;145000
1320;1;3;1;2;564;164500
1392;2;2;1;2;540;146000
1795;2;4;1;1;352;131500
1429;1;3;1;2;572;181900
2042;2;3;1;3;1390;253293
816;1;3;1;0;0;118500
2775;3;3;1;2;880;325000
1573;1;3;1;1;240;133000
2028;2;2;1;3;880;369900
838;1;2;1;1;275;130000
860;1;2;1;2;528;137000
1473;1;1;1;1;452;143000
935;1;2;1;1;308;79500
1582;2;3;1;2;520;185900
816;1;2;1;2;816;138000
848;1;1;1;2;420;140000
924;1;3;1;1;280;110000
1826;2;3;1;3;758;319000
1368;1;3;1;1;216;114504
1402;0;2;1;3;648;194201
1647;2;3;1;2;621;217500
1556;2;3;1;2;452;151000
1904;2;3;1;2;736;275000
1375;1;3;1;1;544;141000
1915;2;3;1;2;506;220000
1200;2;2;1;2;480;151000
1494;2;3;1;2;530;221000
1986;2;3;1;2;486;205000
1040;1;3;1;2;576;152000
2008;3;3;1;1;230;225000
3194;2;4;1;2;380;359100
1029;1;3;1;1;261;118500
2153;2;3;1;3;736;313000
1032;2;3;1;2;564;148000
1872;2;3;1;2;531;261500
1120;1;3;1;0;0;147000
630;1;1;1;0;0;75500
1054;1;3;1;2;480;137500
1509;2;3;1;2;393;183200
832;1;2;1;2;528;105500
1828;2;3;1;3;774;314813
2262;2;4;1;3;749;305000
864;1;2;1;0;0;67000
2614;2;4;1;2;624;240000
980;1;3;1;2;484;135000
1512;2;2;1;2;440;168500
1790;1;4;1;2;484;165150
1116;1;3;1;2;440;160000
1422;1;3;1;1;286;139900
1520;1;3;1;1;364;153000
2080;1;5;1;2;504;135000
1350;1;3;1;2;520;168500
1750;1;3;1;1;240;124000
1554;2;2;1;2;627;209500
1411;2;3;1;2;544;82500
1056;1;3;1;1;260;139400
1056;0;0;2;2;576;144000
3395;2;8;2;0;0;200000
800;1;1;1;0;0;60000
1387;2;3;2;1;256;93000
796;1;2;1;0;0;85000
1567;2;1;1;3;648;264561
1518;1;1;1;2;588;274000
1929;2;3;1;2;650;226000
2704;2;4;1;2;538;345000
1620;2;4;1;2;462;152000
1766;2;2;1;3;478;370878
981;1;3;1;2;576;143250
1048;1;3;1;2;420;98300
1094;1;3;1;2;495;155000
1839;1;4;1;2;442;155000
630;1;1;1;0;0;84500
1665;2;3;1;2;562;205950
1510;1;4;1;1;296;108000
1716;2;2;1;2;512;191000
1469;1;3;1;1;216;135000
2113;2;2;1;3;839;350000
1092;1;3;1;1;264;88000
1053;1;3;1;1;312;145500
1502;1;3;1;1;270;149000
1458;1;3;1;1;330;97500
1486;1;3;1;2;480;167000
1935;2;3;1;2;550;197900
2448;2;4;1;3;711;402000
1392;1;2;1;2;576;110000
1181;2;3;1;2;588;137500
2097;1;1;1;3;1134;423000
1936;2;3;1;2;504;230500
2380;2;3;1;2;596;129000
1679;2;3;1;2;575;193500
1437;1;3;1;2;576;168000
1180;1;2;1;1;252;137500
1476;2;3;1;2;540;173500
1369;2;3;1;1;300;103600
1208;1;3;1;2;546;165000
1839;2;3;1;2;416;257500
1136;1;3;1;1;384;140000
1441;2;3;1;2;440;148500
1774;2;4;2;3;779;87000
792;1;2;1;1;240;109500
2046;2;3;1;3;834;372500
988;1;3;1;2;572;128500
923;2;2;1;1;264;143000
1520;1;3;1;1;281;159434
1291;1;2;1;2;431;173000
1668;2;3;1;3;702;285000
1839;2;4;1;2;486;221000
2090;2;3;1;2;577;207500
1761;3;3;1;2;578;227875
1102;2;2;1;2;480;148800
1419;2;2;1;2;567;392000
1362;2;2;1;2;460;194700
848;1;1;1;2;420;141000
2519;2;4;1;2;628;335000
1073;1;2;1;1;326;108480
1539;1;3;1;2;576;141500
1137;2;2;1;2;551;176000
616;1;2;1;1;205;89000
1148;1;2;1;1;308;123500
894;1;3;1;1;336;138500
1391;2;2;1;2;530;196000
1800;2;3;1;3;765;312500
1164;1;3;1;2;528;140000
2576;2;4;1;3;666;361919
1812;2;4;2;2;672;140000
1484;2;3;1;2;606;213000
1092;2;3;2;0;0;55000
1824;2;2;1;2;739;302000
1324;2;2;1;2;550;254000
1456;2;3;1;2;400;179540
904;1;3;1;1;408;109900
729;1;2;1;0;0;52000
1178;1;2;1;1;384;102776
1228;2;2;1;2;472;189000
960;1;3;1;2;576;129000
1479;2;3;1;2;475;130500
1350;2;3;1;2;478;165000
2554;1;3;1;2;704;159500
1178;1;3;1;2;439;157000
2418;2;3;1;3;983;341000
971;1;3;1;1;300;128500
1742;2;2;1;2;564;275000
848;1;1;1;2;420;143000
864;1;3;1;2;463;124500
1470;2;4;1;1;548;135000
1698;2;3;1;3;768;320000
864;1;3;1;2;660;120500
1680;2;3;1;2;540;222000
1232;2;2;1;2;632;194500
1776;2;4;2;3;888;110000
1208;1;2;1;2;539;103000
1616;2;2;1;2;608;236500
1146;2;3;1;2;438;187500
2031;2;3;1;2;541;222500
1144;1;3;1;1;264;131400
948;1;3;1;1;300;108000
1768;1;2;1;2;320;163000
1040;2;2;2;2;400;93500
1801;2;3;1;3;800;239900
1200;3;3;1;0;0;179000
1728;2;3;1;2;572;190000
1432;2;2;1;2;360;132000
912;1;3;1;1;288;142000
1349;2;3;1;2;539;179000
1464;2;3;1;2;480;175000
1337;2;2;1;2;462;180000
2715;3;4;1;2;831;299800
2256;2;4;1;2;554;236000
2640;1;4;1;4;864;265979
1720;2;3;1;2;527;260400
1529;2;4;1;1;240;98000
1140;1;3;1;0;0;96500
1320;2;3;1;2;400;162000
1494;2;3;1;2;576;217000
2098;2;3;1;3;878;275500
1026;1;3;1;2;440;156000
1471;2;3;1;2;440;172500
1768;2;3;1;2;578;212000
1386;2;3;1;2;440;158900
1501;2;3;1;2;440;179400
2531;2;4;1;3;752;290000
864;1;2;1;1;300;127500
1301;1;2;1;2;440;100000
1547;2;3;1;2;614;215200
2365;2;3;1;3;856;337000
1494;1;2;1;2;481;270000
1506;2;2;1;2;592;264132
1714;2;3;1;2;496;196500
1750;2;4;1;1;423;160000
1836;2;3;1;2;484;216837
858;1;2;1;2;576;134900
1220;1;2;1;2;396;102000
1117;1;3;1;2;672;107000
912;1;2;1;1;275;114500
1973;2;3;1;3;895;395000
1204;2;2;1;2;412;162000
1614;2;3;1;3;865;221500
894;1;3;1;2;440;142500
2020;2;4;2;2;630;144000
1004;1;2;1;2;504;135000
1253;2;3;1;2;402;176000
1603;2;3;1;2;484;175900
1430;2;3;1;2;605;187100
1110;1;1;1;2;602;165500
1484;2;3;1;0;0;128000
1342;2;3;1;2;457;161500
1652;2;4;1;1;416;139000
2084;2;4;1;2;618;233000
901;1;2;1;1;281;107900
2087;2;5;1;2;444;187500
1145;2;2;1;2;397;160200
1062;1;3;1;2;539;146800
2013;2;3;1;2;455;269790
1496;2;3;1;2;474;225000
1895;2;3;1;2;409;194500
1564;2;3;1;2;476;171000
1285;1;3;1;2;528;143500
773;1;2;1;1;240;110000
1768;1;3;1;1;240;175000
1688;2;4;1;2;603;200000
1196;1;2;1;2;440;109900
1456;2;3;1;2;410;189000
1128;1;2;1;1;286;118000
1428;2;3;1;2;554;227680
980;2;3;1;1;384;135500
1576;1;3;1;2;528;223500
1086;1;3;1;2;484;159950
2138;2;2;3;2;360;106000
1309;1;3;1;2;484;181000
848;1;1;1;2;420;144500
1044;1;2;1;2;504;55993
1442;1;4;1;1;301;157900
1250;1;3;1;1;280;116000
1661;2;3;1;2;598;224900
1008;1;2;1;1;275;137000
1689;2;3;1;3;857;271000
1052;1;3;1;2;440;155000
1358;2;2;1;2;484;224000
1640;2;3;1;2;595;183000
936;1;2;1;2;576;93000
1733;2;3;1;2;433;225000
1489;2;3;1;1;240;139500
1489;2;3;1;2;776;232600
2084;2;2;1;3;1220;385000
784;1;2;1;0;0;109500
1434;2;3;1;2;527;189000
2126;2;3;1;2;538;185000
1223;2;2;1;2;480;147400
1392;1;3;1;2;458;166000
1200;2;2;1;2;480;151000
1829;2;3;1;2;613;237000
1516;1;3;1;2;472;167000
1144;1;3;1;2;456;139950
1067;2;2;1;2;436;128000
1559;1;2;1;2;812;153500
987;1;2;1;1;264;100000
1099;1;3;1;1;352;144000
1200;1;3;1;1;240;130500
1482;2;4;1;1;400;140000
1539;2;3;1;2;686;157500
1165;1;3;1;2;490;174900
1800;2;6;2;0;0;141000
1416;1;4;1;3;720;153900
1701;2;3;1;2;611;171000
1775;2;3;1;2;425;213000
864;1;3;1;1;338;133500
2358;3;5;1;2;360;240000
1855;2;3;1;2;512;187000
848;1;1;1;2;420;131500
1456;2;2;1;2;400;215000
1646;2;4;1;1;240;164000
1445;1;3;1;2;645;158000
1779;1;3;1;2;454;170000
1040;1;3;1;1;260;127000
1026;1;3;1;2;576;147000
1481;2;3;1;2;343;174000
1370;2;3;1;2;479;152000
2654;2;4;1;2;619;250000
1426;1;3;1;1;216;189950
1039;1;3;1;2;504;131500
1097;2;3;1;2;480;152000
1148;1;3;1;1;672;132500
1372;2;3;1;2;529;250580
1002;1;3;1;2;902;148500
1646;2;3;1;3;870;248900
1120;1;3;1;2;544;129000
2320;2;2;1;2;672;169000
1949;2;3;1;2;574;236000
894;1;2;1;1;308;109500
1682;2;3;1;2;523;200500
910;1;3;1;2;414;116000
1268;1;3;1;1;288;133000
1131;1;3;1;1;200;66500
2610;2;4;1;2;550;303477
1040;1;3;1;2;648;132250
2224;2;4;1;3;738;350000
1155;1;3;1;2;576;148000
864;1;3;1;1;336;136500
1090;1;2;1;2;450;157000
1717;2;3;1;2;400;187500
1593;2;3;1;2;389;178000
2230;1;5;1;1;440;118500
892;1;3;1;1;288;100000
